ID,ICB_NAME,count,,non_adhd,percent_total,meds/population
39,SURREY,188089,188089,115916523.8,0.162262457,0.166776912
20,KENT,388445,388445,248556875.3,0.156280127,0.197088862
20,MEDWAY,388445,388445,248556875.3,0.156280127,0.197088862
24,SOUTHEND-ON-SEA,178550,178550,124568629.3,0.143334643,0.1422223
24,THURROCK,178550,178550,124568629.3,0.143334643,0.1422223
24,ESSEX,178550,178550,124568629.3,0.143334643,0.1422223
5,BUCKINGHAMSHIRE,256158,256158,193560625.4,0.132339932,0.131449969
5,OXFORDSHIRE,256158,256158,193560625.4,0.132339932,0.131449969
5,READING,256158,256158,193560625.4,0.132339932,0.131449969
5,SLOUGH,256158,256158,193560625.4,0.132339932,0.131449969
5,MAIDENHEAD,256158,256158,193560625.4,0.132339932,0.131449969
5,WOKINGHAM,256158,256158,193560625.4,0.132339932,0.131449969
5,BRACKNELL FOREST,256158,256158,193560625.4,0.132339932,0.131449969
5,BERKSHIRE,256158,256158,193560625.4,0.132339932,0.131449969
30,NORTHAMPTONSHIRE,117808,117808,90891035.5,0.129614543,0.146374617
17,HEREFORDSHIRE,115417,115417,98258503,0.117462608,0.141141784
17,WORCESTERSHIRE,115417,115417,98258503,0.117462608,0.141141784
1,BEDFORD,139135,139135,118811026.6,0.117106134,0.128441002
1,BEDFORDSHIRE,139135,139135,118811026.6,0.117106134,0.128441002
1,LUTON,139135,139135,118811026.6,0.117106134,0.128441002
1,MILTON KEYNES,139135,139135,118811026.6,0.117106134,0.128441002
4,BRISTOL,120272,120272,106127485.7,0.113327852,0.113214651
4,NORTH SOMERSET,120272,120272,106127485.7,0.113327852,0.113214651
4,SOUTH GLOUCESTERSHIRE,120272,120272,106127485.7,0.113327852,0.113214651
31,NOTTINGHAM,146318,146318,130439305.8,0.112173243,0.130532916
31,NOTTINGHAMSHIRE,146318,146318,130439305.8,0.112173243,0.130532916
23,SCUNTHORPE,128064,128064,119615624.6,0.107062936,0.157871769
23,GRIMSBY,128064,128064,119615624.6,0.107062936,0.157871769
23,LINCOLNSHIRE,128064,128064,119615624.6,0.107062936,0.157871769
38,SUFFOLK,146223,146223,138058619.1,0.105913706,0.139243954
7,WARRINGTON,480573,480573,455316915.8,0.105546924,0.176570309
7,CHESHIRE EAST,480573,480573,455316915.8,0.105546924,0.176570309
7,CHESHIRE,480573,480573,455316915.8,0.105546924,0.176570309
7,MERSEYSIDE,480573,480573,455316915.8,0.105546924,0.176570309
10,DERBY,155829,155829,148695757.8,0.104797206,0.144437503
10,DERBYSHIRE,155829,155829,148695757.8,0.104797206,0.144437503
22,LEICESTER,158069,158069,152182188,0.103868266,0.13313686
22,LEICESTERSHIRE,158069,158069,152182188,0.103868266,0.13313686
22,RUTLAND,158069,158069,152182188,0.103868266,0.13313686
25,NORFOLK,159801,159801,154858855.2,0.103191387,0.147622035
25,WAVENEY,159801,159801,154858855.2,0.103191387,0.147622035
