icb_name,,anxiety,happiness,life_satisfaction,worthwhile
UNIDENTIFIED,,,,,
NHS SURREY HEARTLANDS INTEGRATED CARE BO,SURREY HEARTLANDS INTEGRATED CARE BO,3.33,7.42,7.48,7.77
NHS KENT AND MEDWAY INTEGRATED CARE BOAR,KENT AND MEDWAY INTEGRATED CARE BOAR,3.14,7.42,7.36,7.75
NHS MID AND SOUTH ESSEX INTEGRATED CARE ,MID AND SOUTH ESSEX INTEGRATED CARE ,3.28,7.3,7.51,7.72
NHS SOUTH WEST LONDON INTEGRATED CARE BO,SOUTH WEST LONDON INTEGRATED CARE BO,2.98,7.38,7.51,7.6
"NHS BUCKINGHAMSHIRE, OXFORDSHIRE AND BER","BUCKINGHAMSHIRE, OXFORDSHIRE AND BER",3.25,7.43,7.52,7.72
NHS NORTHAMPTONSHIRE INTEGRATED CARE BOA,NORTHAMPTONSHIRE INTEGRATED CARE BOA,2.96,7.52,7.49,7.88
NHS FRIMLEY INTEGRATED CARE BOARD,FRIMLEY INTEGRATED CARE BOARD,3.33,7.42,7.48,7.77
NHS HEREFORDSHIRE AND WORCESTERSHIRE INT,HEREFORDSHIRE AND WORCESTERSHIRE INT,3.34,7.51,7.52,7.81
"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNE","BEDFORDSHIRE, LUTON AND MILTON KEYNE",2.85,7.35,7.48,7.46
NHS SOUTH EAST LONDON INTEGRATED CARE BO,SOUTH EAST LONDON INTEGRATED CARE BO,3.69,7.15,7.09,7.52
"NHS BRISTOL, NORTH SOMERSET AND SOUTH GL","BRISTOL, NORTH SOMERSET AND SOUTH GL",3.61,6.99,7.15,7.47
NHS NORTH CENTRAL LONDON INTEGRATED CARE,NORTH CENTRAL LONDON INTEGRATED CARE,3.64,6.93,6.78,7.27
NHS NOTTINGHAM AND NOTTINGHAMSHIRE INTEG,NOTTINGHAM AND NOTTINGHAMSHIRE INTEG,3.37,7.23,7.37,7.72
NHS LINCOLNSHIRE INTEGRATED CARE BOARD,LINCOLNSHIRE INTEGRATED CARE BOARD,3.34,7.59,7.59,7.92
NHS SUFFOLK AND NORTH EAST ESSEX INTEGRA,SUFFOLK AND NORTH EAST ESSEX INTEGRA,3.19,7.39,7.59,7.79
NHS CHESHIRE AND MERSEYSIDE INTEGRATED C,CHESHIRE AND MERSEYSIDE INTEGRATED C,3.12,7.39,7.41,7.73
NHS DERBY AND DERBYSHIRE INTEGRATED CARE,DERBY AND DERBYSHIRE INTEGRATED CARE,3.34,7.37,7.42,7.88
"NHS LEICESTER, LEICESTERSHIRE AND RUTLAN","LEICESTER, LEICESTERSHIRE AND RUTLAN",3.13,7.38,7.51,7.83
NHS NORFOLK AND WAVENEY INTEGRATED CARE ,NORFOLK AND WAVENEY INTEGRATED CARE ,3.14,7.44,7.53,7.81
NHS NORTH WEST LONDON INTEGRATED CARE BO,NORTH WEST LONDON INTEGRATED CARE BO,3.63,7.33,7.55,7.64
NHS CORNWALL AND THE ISLES OF SCILLY INT,CORNWALL AND THE ISLES OF SCILLY INT,3.13,7.52,7.56,7.78
NHS HERTFORDSHIRE AND WEST ESSEX INTEGRA,HERTFORDSHIRE AND WEST ESSEX INTEGRA,3.37,7.29,7.36,7.69
